oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00004154,2,3,2,6,3,5,7,5,7,5,4,3,2,2,0,0,4,2,0,0,0,1,3,3,5,9,6,5,12,7,8,10,14,8,15,7,7,7,15,17,6,14,8,7,13,4,2,5,7,1,2,4,3,3,0,4,3,2,2,2,2,3,1,4,2,2,3,0,0,4,3,3,0,1,2,2,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0
E00004155,6,3,9,4,4,7,5,7,8,3,4,5,8,10,4,3,1,2,2,2,4,3,4,1,2,2,5,3,8,3,8,5,5,7,4,6,9,4,5,10,11,10,5,4,4,5,7,4,14,6,2,6,5,1,4,5,3,4,2,2,1,1,2,1,1,1,2,4,2,0,2,1,4,2,2,5,3,0,2,0,0,0,1,1,0,0,1,0,1,0,0
E00004156,5,1,5,2,5,5,4,6,1,3,5,4,4,2,2,2,0,3,0,0,3,1,0,1,2,5,1,0,2,1,2,10,3,6,12,5,4,6,5,3,4,4,10,4,4,8,4,4,4,8,2,5,4,2,1,4,5,0,2,2,2,1,1,3,1,2,1,3,0,2,2,1,1,2,0,1,1,1,4,1,2,1,2,1,0,2,0,1,0,0,0
E00004162,6,6,2,5,2,4,0,2,1,0,3,1,2,0,3,3,1,1,2,0,1,3,1,4,3,8,3,10,11,5,7,11,13,7,8,7,9,7,8,9,3,9,5,3,4,4,7,1,2,6,1,0,2,3,0,2,3,5,2,2,1,0,1,0,2,0,1,0,2,1,1,1,3,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
E00004148,3,1,0,0,0,2,2,2,1,2,1,0,2,2,0,2,1,3,2,2,0,2,0,0,3,5,2,2,5,6,3,5,3,2,3,3,3,3,3,4,3,7,3,4,0,3,1,4,1,0,1,3,3,4,4,2,1,2,2,2,3,0,3,4,0,3,4,1,1,3,6,2,6,2,5,2,2,0,0,0,1,1,1,2,0,0,0,2,0,0,2
E00004149,2,3,5,2,5,6,5,9,8,7,5,8,1,1,1,3,5,0,4,1,1,3,1,3,3,4,6,6,3,4,5,8,7,3,12,3,2,7,7,7,9,7,6,8,2,7,8,3,3,5,5,3,2,4,5,3,4,5,7,6,2,3,2,10,6,3,3,4,2,3,4,5,5,4,0,3,3,3,3,2,1,4,1,1,1,0,0,4,7,4,13
E00004151,1,3,4,2,2,1,2,2,3,3,7,2,2,0,1,0,0,2,3,1,2,0,0,4,5,2,3,5,8,12,10,13,9,12,9,8,7,8,11,8,8,4,11,7,5,2,2,3,3,3,5,1,3,4,5,3,3,4,1,2,4,1,2,5,3,3,2,1,2,0,5,3,0,5,0,2,4,1,0,1,0,2,0,0,0,0,1,0,0,3,3
E00004153,2,3,2,4,8,4,6,6,5,4,7,1,2,0,1,1,0,4,0,1,0,2,0,1,4,4,2,7,2,7,4,2,1,8,7,7,4,15,7,9,4,3,4,3,5,2,3,7,2,7,1,3,6,2,5,1,1,1,0,4,6,4,1,4,2,4,1,1,3,0,1,2,1,2,0,0,0,0,1,1,0,3,3,0,0,0,1,0,0,0,0
E00004158,4,4,6,6,2,3,7,4,8,10,3,5,8,12,6,0,3,4,4,5,1,3,6,9,7,8,7,6,7,9,16,15,8,13,8,8,7,8,9,3,5,12,5,9,5,3,6,8,4,1,4,5,8,1,7,3,2,6,4,5,9,2,1,6,3,3,1,0,1,2,7,2,0,3,1,3,0,1,0,1,0,3,1,1,1,3,3,0,1,0,0
E00004161,2,6,1,3,3,6,4,6,5,1,3,0,1,2,1,1,3,4,3,1,3,0,3,2,1,5,1,9,11,7,7,5,11,8,8,6,4,5,6,5,5,7,5,3,3,4,1,6,2,2,0,8,5,2,3,3,1,0,1,3,0,3,3,3,2,1,2,1,1,0,4,2,9,5,5,0,2,1,1,1,1,0,0,1,0,1,0,1,0,3,2
